FINAL BOTTLE BILL GUIDE ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region ,Latitude,Longitude,marker-size,marker-symbol,marker-color,Features,Deposit Amount,Containers Covered,PET Deposit Legislation,PET Consumed,PET Recollection Rate,PET Recycling Rate,State Agency,citation-1-title,citation-1-url,citation-2-title,citation-2-url,citation-3-title,citation-3-url,citation-4-title,citation-4-url,citation-5-title,citation-5-url,citation-6-title,citation-6-url,citation-7-title,citation-7-url
Canada-Saskatchewan,54.418583,-105.88885,large,waste-basket,#E15B6C,"Deposit-return system plus environmental handling charge (EHC) for non-refillable containers, for recycling, and beer bottle deposit system for refillables (Hogg et al., 2010)","Deposits vary widely for diff. materials and sizes (Hogg et al., 2010) ","All beverage containers apart from milk under voluntary system (Hogg et al., 2010) ","1973- Litter Control Regulations--appears the deposit system introduced to this in 1998. (Hogg et al., 2010) ",,"Overall 86% (Hogg et al., 2010) ",,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Canada-Yukon,63.62751,-135.50845,large,waste-basket,#E15B6C,"No kerbside collection. Deposit-return system, with ‘recycling club’ for children offering ‘prizes’ as well as refund if certain numbers reached. Refillables not charged recycling fund fee, all others are. (Hogg et al., 2010) ","D=deposit, R=refund. Liquor ref: D=$0.10 R=$0.10 ; Liquor non-refil: <0.5 L D=$0.15 R=$0.10,  >0.5 L D=$0.35 R=$0.25 (Hogg et al., 2010) ","All beverage containers except milk (Hogg et al., 2010) ","1998 (Hogg et al., 2010)",,"Refillable bottles 103% ; Non-refill. bottles 113% (?) ; Liquor containers <200ml 99%, 1L 90%, >1L 79% (includes refillables) (Hogg et al., 2010) ",,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
China,36.553085,103.97543,large,waste-basket,#E15B6C,"No systematic regulations and laws to standardize the industry and residents on how to recycle and dispose of the PET bottles. Informal system of collectors . Until 2017, the Incom Recycle, a company working on the DRS of recyclable PET bottles, has installed 5000 waste-buying depots in Beijing. (Kou, 2019) ",,,,"100,000 tons of PET plastic in 2012 (Wen, 2014)","Nearly 100% PET plastic (Kou, 2019); Incom Recycle report 55,000,000 PET bottles have been successfully collected and recycled (Kou, 2019) ","Incom Recycle report 70% recycling rate of PET (Kou, 2019) ",,"(Kou, 2019)",https://lutpub.lut.fi/bitstream/handle/10024/160227/Thesis%20Wei%20Kou_Final%20Version%20for%20Submission%2011.11.2019.pdf?sequence=1&isAllowed=y,"(Wen, 2014)",https://www.sciencedirect.com/science/article/pii/S0956053X13003437,,,,,,,,,,
Croatia,45.444305,15.734504,large,waste-basket,#E15B6C,"Deposit-return plus ""incentive fee"" to be paid by producer if 50% refill isn't met. 5% paid still, if target is met. (Hogg et al.,2010)",,"Glass, PET and metal containers for beer, soft drinks, water, wine, and spirits (Hogg et al.,2010)","2005 (Hogg et al.,2010)",,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Cyrpus,35.11474,33.486717,large,waste-basket,#E15B6C,"Deposit-return system for reusable containers, with legal provisions--the only voluntary deposit on beer glass bottle may end in future (European Parliament, 2011)",,,,,,,,"(European Parliament, 2011) ",https://www.europarl.europa.eu/RegData/etudes/note/join/2011/457065/IPOL-AFET_NT(2011)457065_EN.pdf,,,,,,,,,,,,
Czech Republic,49.739105,15.331501,large,waste-basket,#E15B6C,"deposit-return system for reusable containers w/ legal provisions (European Parliament, 2011) ",,,,,,,,"(European Parliament, 2011) ",https://www.europarl.europa.eu/RegData/etudes/note/join/2011/457065/IPOL-AFET_NT(2011)457065_EN.pdf,,,,,,,,,,,,
Denmark,56.10176,9.555907,large,waste-basket,#E15B6C,"All beers and soft drinks must be sold in refillable bottles. Ecotax. (Hogg et al.,2010)


2 DRS Policies: 1) Reusable Containers—collection through the breweries for refilling. 2) One-way containers—collection through Dansk Retursystem A/S for recycling (European Parliament, 2011) 
","€0.13 Cans, plastic and glass bottles <0.5 L; €0.20 0.5 L Plastic Bottles; €0.40 cans, plastic and glass bottles >0.5 L (Hogg et al.,2010)","Beer and soft drinks containers. Deposits on some wine and spirit bottles dependent on retailer. (Hogg et al.,2010)","1989 and amended 1991 (Hogg et al.,2010)",,,"overall one-way packaging 84% (European Parliament, 2011); ",,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,"(European Parliament, 2011) ",https://www.europarl.europa.eu/RegData/etudes/note/join/2011/457065/IPOL-AFET_NT(2011)457065_EN.pdf,,,,,,,,,,
Estonia,58.693745,25.241625,large,waste-basket,#E15B6C,"Deposit-return at retailers (Hogg et al.,2010); 60% recovery target for all beverage packaging, if recovery system not set up or if the target is not met excise duty levied on enterprises (European Parliament, 2011) ","1.0 kroon: Glass (refill and NRB), 0.5 kroon:Metal and PET < 0.5 L, 1 kroon: PET >0.5 L (Hogg et al.,2010)","Beer, low alcohol drinks, carbonated/non-carbonated soft drinks, water, juice, cider, and perry (Hogg et al.,2010)","2004 (Hogg et al.,2010)",,,"over 90% PET (European Parliament, 2011) ","Eesto Pandipakend LLC (EPP) (European Parliament, 2011) ","(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,"(European Parliament, 2011) ",https://www.europarl.europa.eu/RegData/etudes/note/join/2011/457065/IPOL-AFET_NT(2011)457065_EN.pdf,,,,,,,,,,
Federated States of Mircronesia,6.869349,158.18726,large,waste-basket,#E15B6C,"Deposit-Returns to Kosrae Island Resource Management Authority, KIRMA (Hogg et al., 2010) ","US $0.06, US $0.05 back (Hogg et al., 2010) ","aluminum cans, glass & plastic expected soon (Hogg et al., 2010) ","1991, amended 2006 (Hogg et al., 2010) ",,"20,000 cans per day (Hogg et al., 2010)",,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Finland,64.28858,25.989403,large,waste-basket,#E15B6C,"Tax on beverage containers. Exemption from tax only if part of refillable deposit scheme (Hogg et al.,2010)

EUR 0.51 per litre for all drinks packaging not in registered deposit refund system (Ettlinger, 2016)

The Finish industry ""voluntarily"" chose to implement a deposit system to avoid a packaging tax. (European Parliament, 2011)
","EUR 0.10 for a plastic bottle of less than 0.35L, EUR 0.20 for a plastic bottle of 0.35L-1L, EUR 0.40 for a plastic bottle larger than 1L (Ettlinger, 2016) ","refillable glass, PET bottles, one-way cans, & glass bottles (Ettlinger, 2016) ","1996: Deposit-Refund systems begins with government decree, PET introduced in 2008 (Ettlinger, 2016) ",,"400 million bottles of PET, 96% can, 92% PET bottle, 88% glass bottle in 2018 (Kou, 2019); 92% bottles (European Parliament, 2011) ","12700 metric tons of PET bottle bales in 2016 (Kou, 2019) ","""Suomen Palautuspakkaus Oy (PALPA) is a non-profit organisation, owned and operated 50% by the beverage industry and 50% by the retail industry and funded by fees paid by participating producers and importers whose products are covered by the system."" (Ettlinger 2016); PALPA responsible for cans and PET bottles, Ekopullo responsbile for reusable glass and PET bottles (European Parliament, 2011); Alko responsible for reusable glass bottles, A-Pullo responsible for resusable glass bottles (Kuo, 2019) ","(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,"(European Parliament, 2011) ",https://www.europarl.europa.eu/RegData/etudes/note/join/2011/457065/IPOL-AFET_NT(2011)457065_EN.pdf,"(Kou, 2019) ",https://lutpub.lut.fi/bitstream/handle/10024/160227/Thesis%20Wei%20Kou_Final%20Version%20for%20Submission%2011.11.2019.pdf?sequence=1&isAllowed=y,"(Ettlinger, 2016)",https://ieep.eu/uploads/articles/attachments/9d526526-d22b-4350-a590-6ff71d058add/FI%20Deposit%20Refund%20Scheme%20final.pdf?v=63680923242,,,,,,
Germany,51.1657,10.4515,large,waste-basket,#E15B6C,"Einwegpfand Deposit on one-way a standard amount, deposit on refillables manufacturer dependent, not legally specified, though tend to be similar (Hogg et al.,2010); Recycle and Waste Material Control Act of 2003 (Hsiao, 2006); reusable with legal provisions, one-way mandatory deposit (European Parliament, 2011)","Standard One-way containers:  €0.25 ≤1.5 L, €0.50 >1.5 L (Hogg et al., 2010); € 0.15 for reusable glass and plastic bottles for most soft drinks (usually up to 2 litres) (European Parliament, 2011) ","One-way beer, water, soft drink, still drink. alcopop, and energy drinks. (European Parliament, 2011); Not containers for wine, fruit juice, or spirits (Hogg et al., 2010)","2003 (Hogg et al., 2010)","590 10^3 metric tons of total plastic in 2002 (Hsiao, 2006)","Quota Plastic 80% (Hogg et al., 2010); 93.5% PET Recollection Rate in 2011 (Welle, 2011); 98% Bottles (European Parliament, 2011)","99% Plastic Bottle Recycling Rate (Kou, 2019) ","DPG (Deutsches Pfandsystem GmbH) a company formed in June 2005 by the trade and industry organizations. (European Parliament, 2011) 
","(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,"(European Parliament, 2011) ",https://www.europarl.europa.eu/RegData/etudes/note/join/2011/457065/IPOL-AFET_NT(2011)457065_EN.pdf,"(Kou, 2019) ",https://lutpub.lut.fi/bitstream/handle/10024/160227/Thesis%20Wei%20Kou_Final%20Version%20for%20Submission%2011.11.2019.pdf?sequence=1&isAllowed=y,"(Welle, 2011) ",https://www.sciencedirect.com/science/article/abs/pii/S0921344911000656,"(Hsiao, 2006)",https://www.sciencedirect.com/science/article/pii/S0956053X05002680,,,,
Hungary,47.165733,19.416574,large,waste-basket,#E15B6C,"Tax linked to market share quotas (Hogg et al.,2010)",,"Beer, low-alcohol drinks, wine, mineral water, carbonated and non-carbonated soft drinks (Hogg et al.,2010)","2005 (Hogg et al.,2010)",,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Iceland,64.928566,-18.9617,large,waste-basket,#E15B6C,"Tax on non-refillable containers (Hogg et al.,2010)",,"Non-refillable glass, steel, aluminum, and plastic (Hogg et al.,2010)","2008 (Hogg et al.,2010)",,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Kiribati ,1.8709185,-157.3626011,large,waste-basket,#E15B6C,"Deposit-Return at Kaoki Mange Collection points Kaoki (Hogg et al., 2010) ","US $0.05, $US 0.04 returned (Hogg et al., 2010) ","Aluminum cans and PET drinks bottles (Hogg et al., 2010) ","2004 (Hogg et al., 2010) ",,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Latvia,56.86873,24.840244,large,waste-basket,#E15B6C,"Deposit-refund system on beverage packaging with legal provisions--reusable containers (European Parliament, 2011)",,,,,,,,"(European Parliament, 2011) ",https://www.europarl.europa.eu/RegData/etudes/note/join/2011/457065/IPOL-AFET_NT(2011)457065_EN.pdf,,,,,,,,,,,,
Lithuania,55.33872,23.870924,large,waste-basket,#E15B6C,"Deposit-refund system on beverage packaging with legal provisions--reusable containers (European Parliament, 2011)","0.1 euro and the returnable size is from 0.1 to 0.3 litres (Kou, 2019) ","Plastic and aluminum beverage bottles (Kou, 2019) ",,,,"overall 74.3% recycling rate of beverage containers in 2016,  raised to be 91.9% in 2017 (Kou, 2019) ","Ministry of Environment organized non-profit organization USAD as the operator of DRS. It was built by three associations in Lithuania, representing brewers, trade enterprises and manufactures. (Kou, 2019) ","(European Parliament, 2011) ",https://www.europarl.europa.eu/RegData/etudes/note/join/2011/457065/IPOL-AFET_NT(2011)457065_EN.pdf,"(Kou, 2019) ",https://lutpub.lut.fi/bitstream/handle/10024/160227/Thesis%20Wei%20Kou_Final%20Version%20for%20Submission%2011.11.2019.pdf?sequence=1&isAllowed=y,,,,,,,,,,
Mexico,23.909094,-102.6334,large,waste-basket,#E15B6C,"Higher tax on non-refillable bottles and cans (Hogg et al., 2010); 2002 schemes following the European Green Dot principle have been partly implemented to place responsibility on the producer, mainly soft drink bottlers (Schwanse, 2011) ",,,"Management Plan for PET Packaging Waste est. 2002 (Shwanse, 2011)"," annual consumption of 160 L per person of soft drinks (Schwanse, 2011) ","25-30% PET bottles (Shwanse, 2011); 23.90% of ECOCE (Schwanse, 2011);","12.6% PET Recycling Rate in 2008 (Castro, 2011) ","ECOCE A.C. is a private non-profit organization whose members represent 30 groups and approximately 60 soft drink, carbonated water, purified water, seasonings and food brands. By means of a trademark similar to the Green Dot, ECOCE distinguishes the PET bottles (and so the com- panies) participating in its nationwide recovery programme. (Schwanse, 2011) ","(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,"(Castro, 2011)",https://www.sciencedirect.com/science/article/abs/pii/S0921344910002387,") (Schwanse, 2011)",https://journals.sagepub.com/doi/10.1177/0734242X11413331,,,,,,,,
Netherlands,52.34226,5.528157,large,waste-basket,#E15B6C,"Voluntary deposit system (Hogg et al., 2010) ; Voluntary systems for glass, beer bottles, and large PET bottles (reusable and one-way). (European Parliament, 2011) ","PET and glass: US $0.16 <0.5 L, US $0.72> 0.5 L (Hogg et al., 2010) ","Soft drinks and water in one-way or refillable glass and PET containers (Hogg et al., 2010) ","1993 (Hogg et al., 2010) ",,"99% PET (Hogg et al., 2010) ; For PET deposit bottles, a return rate of 95% is reported, compared to 66% of non-deposit PET bottles. (European Parliament, 2011) ",,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,"(European Parliament, 2011) ",https://www.europarl.europa.eu/RegData/etudes/note/join/2011/457065/IPOL-AFET_NT(2011)457065_EN.pdf,,,,,,,,,,
Norway,66.76667,14.899925,large,waste-basket,#E15B6C,"Deposit on containers and tax dependent on return rate. Refillables only exempt if 95% return rate is achieved. Retailers selling non- refillables, must also sell similar products in refillable (Hogg et al., 2010) ; Deposit-refund system on beverage packaging mandatory for one-way containers. The Norwegian system works in such a way that the excise tax decreases as the returns increases, meaning that for example 90 per cent returns for cans translates into a 90 per cent discount on the excise tax. (European Parliament, 2011) ","US $0.16 <0.5 L, US $0.40 >0.5 L (Hogg et al., 2010); 0.13 € cans, glass and plastic bottles ≤ 0.5 litre, 0.33 € cans, glass and plastic bottles > 0.5 litre (European Parliament, 2011)  ","Most drinks containers. Excluding milk, vegetable juices, and water (Hogg et al., 2010) ","1994 (Hogg et al., 2010) ",,"60% Wine/Spirits, 98% Beer, & 98% Soft Drinks (Hogg et al., 2010); 93% of all recyclable bottles and 80% of all drink cans in 2005 (European Parliament, 2005) ",,"Norsk Resirk is the non-profit system founded 3 May 1999 and co-owned by various organisations in trade and industry that handles the depositing and recycling of one-way plastic bottles and beverage cans in Norway. (European Parliament, 2011) ","(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Poland,52.14785,19.37776,large,waste-basket,#E15B6C,"Deposit-refund system on beverage packaging voluntary for reusable containers (European Parliament, 2011)",,,,,,,,"(European Parliament, 2011) ",https://www.europarl.europa.eu/RegData/etudes/note/join/2011/457065/IPOL-AFET_NT(2011)457065_EN.pdf,,,,,,,,,,,,
Slovakia,48.707485,19.48489,large,waste-basket,#E15B6C,"A mandatory deposit for both reusable and one-way beverage packaging. The deposit system up to now works satisfactorily only for glass beer packaging. (European Parliament, 2011) ","0.13 € per one beverage packaging up to the volume of 2 L; 0.13 € per one beverage packaging up to the volume of 2 L; 40 € for other reusable beverage packaging. PET not considered reusable and 0 EUR for deposit rate. (European Parliament, 2011) ",,"2011 (European Parliament, 2011) ",,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
South Africa,30.5595,22.9375,large,waste-basket,#E15B6C,"Voluntary deposit return system, manufactuer driven not government (Hogg et al., 2010) ","Between 8-15% of product cost. 0.5-1% if wine/spirit.(Hogg et al., 2010) ","Beer, soft drinks, some wine & spirits bottles (Hogg et al., 2010) ","Around 1948 (Hogg et al., 2010) ",,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
South Australia,-30.079475,135.82819,large,waste-basket,#E15B6C,"Container Deposit Legislation- deposit required on almost all drinks containers, with onus on manufacturer/ wholesaler to ensure convenient system in place for deposit of container/ refunds for customers. (Hogg et al., 2010) ","$0.10 if refillable to retailer, $0.05 if refillable to collection depot (Hogg et al., 2010) ","Most included except wine (unless in plastic bottle), milk, pure fruit juice or flavoured milk >1 L (Hogg et al., 2010) ","1975 (integrated into Environment Protection Act in 1993) (Hogg et al., 2010) ",,"74% PET (Hogg et al., 2010) ",,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Sweden,62.674973,16.79806,large,waste-basket,#E15B6C,"Bottle Manufacturers & Importers: Pay deposit & administration fee to Returpack-PET or Swedish Breweries Association (one-way PET bottle). (Amano, 2004)

Bottle Manufacturers & Importers: Pay deposit & administration fee to Returpack-PET or Swedish Breweries Association (one-way PET bottle). (Amano, 2004)

 Beverage Company: Pay deposit fee to manufacturers. (Amano, 2004)

 Retailers: Pay deposit fee to beverage company. Provide reverse vending machines which recognize PET bottles by bar code. Small stores take bottles back manually via bags. Deposits reimbursed based on collected bottles. (Amano, 2004) 

Consumer: Pay deposit to retailers at point of sale. After consumption, throw PET with household waste or take back to stores for reimbursed deposit. (Amano, 2004) 

Law requires rate of 90% recycling of aluminum cans, or complete ban. Industry implemented deposit system to avoid this. (Hogg et al., 2010) 
2 Types of Return Systems: 1) Refillable glass bottles. Handled by the breweries. 2) One-way metal cans and plastic bottles. Handled by Returnpack Svenska AB, Dela AB, PET-System AB. (European Parliament, 2011); Swedish beverage container deposit-refund system is obligatory and regulated by law. (Kuo, 2019) 
","1 Swedish Krona (SEK)/0.10 € for PET bottles and aluminum cans and up to 1L (Amano, 2004) (Freitas, 2018) 

2 SEK/0.20 € for PET bottles over 1L (Freitas, 2018) 

4 SEK for refillable PET bottle (Amano, 2004); Has been discotinued (European Parliament, 2011) 
","one-way PET bottles, refillable PET bottles until 2007, one-way aluminum cans, and refillable glass bottles. (Tojo, 2016) ","0.1 euro and the returnable size is from 0.1 to 0.3 litres (Kou, 2019) ","160 million refillable PET bottles sold in 1991 (Amano, 2004) 

200 million one-way PET bottles sold in 1994 (Amano, 2004) 

2169 million beverage containers sold (Kou, 2019)

22, 893 tons of non-refillable PET bottles sold in 2008 (Tojo, 2016) 

26,000 tons of PET bottles sold in 2016 (Freitas 2018) 
","21,300 tons of PET Bottles (Freitas, 2018)

45% PET Closed-Loop Collection Rate (Haupt et al., 2017)

31% PET Open-Loop Collection Rate (Haupt et al., 2017); 20,282 tonnes of PET Bottles, 84.1% in 2017 (Kou, 2019) 
","2004: 98% Recycling Rate of Refillable PET (Amano, 2004) 

2004: 79% Recycling Rate of One-way PET (Amano, 2004) 

2016: 82% Recycling Rate of PET Bottles (Freitas, 2018)

 2017: 84.1% Recycling Rate of PET Bottles, 20282 metric tons PET (Kou, 2019) 

26% Closed-Loop Recycling Rate of PET (Haupt et al., 2017)

30% Open-Loop Recycling Rate of PET (Haupt et al., 2017)

","""Returpack-PET AB was formed to manage one-way PET bottle recycling system. It is an independent cooperation owned by a packaging industry REXAM, the Swedish Breweries Association, and trade organizations. The Swedish Breweries Association is responsible for the refillable PET bottle cycle system."" (Amano, 2004); Delta AB and PET System AB (Kou, 2019) 
","(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,"(European Parliament, 2011) ",https://www.europarl.europa.eu/RegData/etudes/note/join/2011/457065/IPOL-AFET_NT(2011)457065_EN.pdf,"(Kou, 2019) ",https://lutpub.lut.fi/bitstream/handle/10024/160227/Thesis%20Wei%20Kou_Final%20Version%20for%20Submission%2011.11.2019.pdf?sequence=1&isAllowed=y,"(Amano, 2004)",https://www.lumes.lu.se/sites/lumes.lu.se/files/amano_michiko.pdf,"(Freitas, 2018) ",http://lup.lub.lu.se/luur/download?func=downloadFile&recordOId=8956858&fileOId=8956859,"(Tojo, 2016)",https://lucris.lub.lu.se/ws/files/5780745/3631000.pdf,"(Haupt et al., 2017)",https://doi.org/10.1111/jiec.12506
